	D(-1)J	JF	FM	MA	AM	MJ	JJ	JA	AS	SO	ON	ND
1950	 -0.8589	 -1.2658	 -1.5489	 -1.2708	 -0.9814	 -1.0526	 -1.0864	 -0.9332	 -0.7861	 -0.8187	 -1.1127	 -1.2847
1951	 -1.1867	 -1.1313	 -0.6324	 -0.1728	  0.1861	  0.6621	  1.0150	  1.0728	  0.9078	  0.8977	  0.8494	  0.5473
1952	  0.4300	  0.5396	  0.5339	  0.4892	  0.4455	  0.0897	 -0.1234	 -0.0425	  0.1338	  0.2048	  0.0372	 -0.0884
1953	 -0.1137	  0.1504	  0.4526	  0.3619	  0.5291	  0.7511	  0.5851	  0.5616	  0.7178	  0.4620	  0.1061	 -0.0305
1954	 -0.2365	 -0.3534	 -0.2125	 -0.4210	 -0.4728	 -0.1880	 -0.4381	 -0.7477	 -0.8078	 -0.9047	 -1.1857	 -1.2472
1955	 -0.9040	 -0.8561	 -0.8898	 -0.8753	 -1.2326	 -1.2779	 -1.0816	 -1.2371	 -1.4688	 -1.7438	 -1.8700	 -1.7951
1956	 -1.4107	 -1.0238	 -0.9976	 -0.9739	 -1.2144	 -1.2917	 -1.4012	 -1.4318	 -1.1899	 -1.2196	 -1.1302	 -0.8214
1957	 -0.5225	  0.0599	  0.5503	  0.6597	  0.9601	  1.1347	  1.1389	  1.1527	  1.1784	  1.0047	  1.2667	  1.4203
1958	  1.3888	  1.3062	  1.3288	  1.3935	  1.3107	  1.1635	  0.8905	  0.8986	  0.8586	  0.7835	  0.9200	  0.9887
1959	  0.9002	  0.9317	  0.7695	  0.7223	  0.9290	  0.7542	  0.5731	  0.4024	  0.4024	  0.4190	  0.2258	 -0.0398
1960	 -0.0085	  0.1003	  0.1788	  0.3122	  0.3099	  0.2149	  0.1473	  0.0678	 -0.0210	 -0.0634	 -0.2501	 -0.3004
1961	  0.0687	 -0.0179	 -0.0344	  0.0802	 -0.1458	 -0.0186	 -0.0761	 -0.3881	 -0.5029	 -0.3321	 -0.3025	 -0.6702
1962	 -0.9788	 -0.7090	 -0.3834	 -0.7121	 -1.0447	 -0.9347	 -0.6958	 -0.4457	 -0.4243	 -0.7522	 -0.7092	 -0.5164
1963	 -0.4825	 -0.3780	 -0.2312	  0.0102	  0.0498	  0.1269	  0.3866	  0.5334	  0.7364	  0.9418	  0.8264	  0.6890
1964	  0.5369	  0.2814	 -0.1367	 -0.8064	 -1.0229	 -1.1664	 -1.1612	 -1.1605	 -1.2280	 -1.2200	 -1.0723	 -0.6214
1965	 -0.2131	  0.1450	  0.2346	  0.1572	  0.5649	  0.9203	  1.2292	  1.4395	  1.3386	  1.3128	  1.6026	  1.5845
1966	  1.5871	  1.3594	  1.0489	  0.9593	  0.6050	  0.4482	  0.4651	  0.4888	  0.2656	  0.1386	  0.2343	  0.1384
1967	 -0.1526	 -0.5013	 -0.5573	 -0.2926	 -0.0347	 -0.1508	 -0.3977	 -0.5684	 -0.7307	 -0.6540	 -0.2837	 -0.0764
1968	 -0.1991	 -0.2075	 -0.4692	 -0.7433	 -0.6768	 -0.7305	 -0.5550	 -0.3810	 -0.0673	  0.3610	  0.5882	  0.7327
1969	  1.4048	  1.7281	  1.0655	  0.7037	  0.9289	  0.8740	  0.8241	  0.9317	  0.8976	  0.9612	  0.9205	  0.6459
1970	  0.4492	  0.3267	  0.2332	  0.1057	 -0.2201	 -0.6846	 -0.7754	 -0.7998	 -1.0502	 -1.1572	 -1.3129	 -1.3322
1971	 -1.2365	 -1.5498	 -1.7251	 -1.7039	 -1.7202	 -1.6977	 -1.4012	 -1.2592	 -1.4034	 -1.3484	 -1.1868	 -0.8878
1972	 -0.2961	  0.0233	  0.1021	  0.5545	  1.0891	  1.2214	  1.2625	  1.4756	  1.5666	  1.6674	  1.6215	  1.5824
1973	  1.4953	  0.9986	  0.4930	  0.0671	 -0.3316	 -0.7889	 -1.0658	 -1.2040	 -1.4237	 -1.5227	 -1.6675	 -2.0344
1974	 -2.1762	 -1.8739	 -1.7121	 -1.4021	 -1.0876	 -1.1254	 -1.3071	 -1.1898	 -0.9701	 -1.2317	 -1.1527	 -0.8868
1975	 -0.6261	 -0.6842	 -1.0162	 -1.1143	 -1.3314	 -1.6033	 -1.7588	 -1.9523	 -2.0841	 -2.0865	 -1.9797	 -1.9319
1976	 -1.8397	 -1.6049	 -1.2000	 -0.8879	 -0.8176	 -0.2299	  0.2232	  0.2872	  0.5580	  0.7409	  0.6678	  0.7660
1977	  0.8751	  0.5348	  0.4567	  0.4782	  0.2441	  0.4244	  0.5880	  0.6299	  0.6714	  0.9137	  1.0897	  1.0932
1978	  0.7949	  0.7375	  0.5520	 -0.0011	 -0.1926	 -0.4670	 -0.2811	 -0.1812	 -0.3013	  0.0206	  0.5607	  0.5574
1979	  0.5033	  0.3041	 -0.0484	  0.3043	  0.6858	  0.4149	  0.4609	  0.7925	  0.8566	  0.8983	  1.0551	  1.2229
1980	  1.1515	  0.9362	  1.1895	  1.4124	  1.0328	  0.9759	  0.8154	  0.5508	  0.3483	  0.1049	  0.0474	  0.1616
1981	 -0.0465	 -0.1968	  0.0461	 -0.0157	 -0.2977	 -0.4790	 -0.4721	 -0.4448	 -0.2433	  0.1475	  0.0607	  0.0021
1982	  0.0573	  0.0461	  0.3227	  0.6178	  0.9669	  1.3990	  1.5016	  1.5436	  1.8137	  1.9968	  2.3579	  2.4924
1983	  2.6849	  2.8459	  2.5786	  2.1994	  1.9318	  1.5864	  1.3122	  1.0018	  0.3158	 -0.0095	 -0.0135	  0.1030
